index,keyword,date,search
1116,쇼츠,2026-04-20,43.05705
1117,쇼츠,2026-04-21,53.06781
1118,쇼츠,2026-04-22,55.43595
1119,쇼츠,2026-04-23,45.85575
1120,쇼츠,2026-04-24,47.47039
1121,쇼츠,2026-04-25,47.47039
1122,쇼츠,2026-04-26,40.36598
1123,쇼츠,2026-04-27,40.15069
1124,쇼츠,2026-04-28,47.79332
1125,쇼츠,2026-04-29,43.7029
1126,쇼츠,2026-04-30,42.41119
1127,풀버전,2023-04-01,0.64585
1128,풀버전,2023-04-02,1.39935
1129,풀버전,2023-04-03,0.96878
1130,풀버전,2023-04-04,1.50699
1131,풀버전,2023-04-05,0.64585
1132,풀버전,2023-04-06,0.96878
1133,풀버전,2023-04-07,1.50699
1134,풀버전,2023-04-08,0.75349
1135,풀버전,2023-04-09,1.82992
1136,풀버전,2023-04-10,0.75349
1137,풀버전,2023-04-11,1.82992
1138,풀버전,2023-04-12,1.50699
1139,풀버전,2023-04-14,0.53821
1140,풀버전,2023-04-15,0.53821
1141,풀버전,2023-04-16,1.18406
1142,풀버전,2023-04-17,1.39935
1143,풀버전,2023-04-18,1.82992
1144,풀버전,2023-04-19,1.93756
1145,풀버전,2023-04-20,0.75349
1146,풀버전,2023-04-21,0.64585
1147,풀버전,2023-04-22,0.64585
1148,풀버전,2023-04-23,1.18406
1149,풀버전,2023-04-24,1.18406
1150,풀버전,2023-04-25,1.39935
1151,풀버전,2023-04-26,2.15285
1152,풀버전,2023-04-27,2.15285
1153,풀버전,2023-04-28,1.61463
1154,풀버전,2023-04-29,1.18406
1155,풀버전,2023-04-30,2.36813
1156,풀버전,2023-05-01,0.75349
1157,풀버전,2023-05-02,0.75349
1158,풀버전,2023-05-03,1.39935
1159,풀버전,2023-05-04,2.0452
1160,풀버전,2023-05-05,0.86114
1161,풀버전,2023-05-06,0.86114
1162,풀버전,2023-05-07,0.96878
1163,풀버전,2023-05-08,0.86114
1164,풀버전,2023-05-09,0.53821
1165,풀버전,2023-05-10,1.50699
1166,풀버전,2023-05-11,1.61463
1167,풀버전,2023-05-12,1.72228
1168,풀버전,2023-05-13,0.64585
1169,풀버전,2023-05-14,0.96878
1170,풀버전,2023-05-15,1.18406
1171,풀버전,2023-05-16,2.0452
1172,풀버전,2023-05-17,2.47578
1173,풀버전,2023-05-18,0.96878
1174,풀버전,2023-05-19,1.93756
1175,풀버전,2023-05-20,1.39935
1176,풀버전,2023-05-21,1.82992
1177,풀버전,2023-05-22,1.61463
1178,풀버전,2023-05-23,2.0452
1179,풀버전,2023-05-24,1.72228
1180,풀버전,2023-05-25,0.86114
1181,풀버전,2023-05-26,1.50699
1182,풀버전,2023-05-27,1.07642
1183,풀버전,2023-05-28,1.18406
1184,풀버전,2023-05-29,2.36813
1185,풀버전,2023-05-30,0.75349
1186,풀버전,2023-05-31,0.86114
1187,풀버전,2023-06-01,0.75349
1188,풀버전,2023-06-02,0.53821
1189,풀버전,2023-06-03,1.29171
1190,풀버전,2023-06-04,1.61463
1191,풀버전,2023-06-06,0.53821
1192,풀버전,2023-06-07,1.72228
1193,풀버전,2023-06-08,1.61463
1194,풀버전,2023-06-09,1.61463
1195,풀버전,2023-06-10,1.61463
1196,풀버전,2023-06-11,0.96878
1197,풀버전,2023-06-12,1.18406
1198,풀버전,2023-06-13,1.07642
1199,풀버전,2023-06-14,1.18406
1200,풀버전,2023-06-15,0.75349
1201,풀버전,2023-06-16,1.61463
1202,풀버전,2023-06-17,0.96878
1203,풀버전,2023-06-18,1.29171
1204,풀버전,2023-06-19,1.18406
1205,풀버전,2023-06-20,1.39935
1206,풀버전,2023-06-21,0.53821
1207,풀버전,2023-06-22,0.53821
1208,풀버전,2023-06-23,0.96878
1209,풀버전,2023-06-24,1.72228
1210,풀버전,2023-06-25,1.39935
1211,풀버전,2023-06-26,1.50699
1212,풀버전,2023-06-27,1.61463
1213,풀버전,2023-06-28,1.72228
1214,풀버전,2023-06-29,1.29171
1215,풀버전,2023-06-30,1.07642
1216,풀버전,2023-07-01,1.61463
1217,풀버전,2023-07-02,0.75349
1218,풀버전,2023-07-03,0.75349
1219,풀버전,2023-07-04,1.61463
1220,풀버전,2023-07-05,2.15285
1221,풀버전,2023-07-06,0.75349
1222,풀버전,2023-07-07,1.72228
1223,풀버전,2023-07-08,0.64585
1224,풀버전,2023-07-09,1.18406
1225,풀버전,2023-07-10,1.93756
1226,풀버전,2023-07-11,0.75349
1227,풀버전,2023-07-12,1.82992
1228,풀버전,2023-07-13,0.64585
1229,풀버전,2023-07-14,1.18406
1230,풀버전,2023-07-15,1.50699
1231,풀버전,2023-07-16,0.96878
1232,풀버전,2023-07-17,1.29171
1233,풀버전,2023-07-18,1.29171
1234,풀버전,2023-07-19,2.26049
1235,풀버전,2023-07-20,0.86114
1236,풀버전,2023-07-21,0.86114
1237,풀버전,2023-07-22,1.29171
1238,풀버전,2023-07-23,1.39935
1239,풀버전,2023-07-24,1.61463
1240,풀버전,2023-07-25,0.75349
1241,풀버전,2023-07-26,1.18406
1242,풀버전,2023-07-27,1.72228
1243,풀버전,2023-07-28,0.53821
1244,풀버전,2023-07-29,1.07642
1245,풀버전,2023-07-30,0.53821
1246,풀버전,2023-07-31,2.15285
1247,풀버전,2023-08-01,0.86114
1248,풀버전,2023-08-02,0.96878
1249,풀버전,2023-08-03,0.75349
1250,풀버전,2023-08-04,1.18406
1251,풀버전,2023-08-05,0.75349
1252,풀버전,2023-08-06,0.86114
1253,풀버전,2023-08-07,0.75349
1254,풀버전,2023-08-09,0.75349
1255,풀버전,2023-08-10,2.58342
1256,풀버전,2023-08-11,1.72228
1257,풀버전,2023-08-12,0.86114
1258,풀버전,2023-08-13,1.39935
1259,풀버전,2023-08-14,0.64585
1260,풀버전,2023-08-15,1.39935
1261,풀버전,2023-08-16,1.82992
1262,풀버전,2023-08-17,1.07642
1263,풀버전,2023-08-18,2.58342
1264,풀버전,2023-08-19,0.53821
1265,풀버전,2023-08-20,0.75349
1266,풀버전,2023-08-21,0.64585
1267,풀버전,2023-08-22,1.93756
1268,풀버전,2023-08-24,1.72228
1269,풀버전,2023-08-25,1.07642
1270,풀버전,2023-08-26,1.07642
1271,풀버전,2023-08-27,1.39935
1272,풀버전,2023-08-28,1.39935
1273,풀버전,2023-08-29,1.50699
1274,풀버전,2023-08-30,1.07642
1275,풀버전,2023-08-31,1.93756
1276,풀버전,2023-09-01,2.36813
1277,풀버전,2023-09-02,1.61463
1278,풀버전,2023-09-03,0.64585
1279,풀버전,2023-09-04,1.72228
1280,풀버전,2023-09-05,0.64585
1281,풀버전,2023-09-06,0.86114
1282,풀버전,2023-09-07,1.18406
1283,풀버전,2023-09-08,1.39935
1284,풀버전,2023-09-09,1.93756
1285,풀버전,2023-09-10,0.75349
1286,풀버전,2023-09-12,0.96878
1287,풀버전,2023-09-13,0.86114
1288,풀버전,2023-09-14,1.18406
1289,풀버전,2023-09-15,2.15285
1290,풀버전,2023-09-16,0.86114
1291,풀버전,2023-09-17,1.18406
1292,풀버전,2023-09-18,1.29171
1293,풀버전,2023-09-19,1.50699
1294,풀버전,2023-09-20,0.86114
1295,풀버전,2023-09-21,0.53821
1296,풀버전,2023-09-22,1.18406
1297,풀버전,2023-09-23,0.64585
1298,풀버전,2023-09-24,1.93756
1299,풀버전,2023-09-25,1.07642
1300,풀버전,2023-09-26,0.75349
1301,풀버전,2023-09-28,0.75349
1302,풀버전,2023-09-29,0.53821
1303,풀버전,2023-10-01,0.64585
1304,풀버전,2023-10-02,0.86114
1305,풀버전,2023-10-03,1.18406
1306,풀버전,2023-10-04,0.86114
1307,풀버전,2023-10-06,1.61463
1308,풀버전,2023-10-07,0.64585
1309,풀버전,2023-10-08,0.96878
1310,풀버전,2023-10-09,0.96878
1311,풀버전,2023-10-11,1.82992
1312,풀버전,2023-10-12,2.0452
1313,풀버전,2023-10-14,0.96878
1314,풀버전,2023-10-15,1.18406
1315,풀버전,2023-10-16,1.82992
1316,풀버전,2023-10-17,1.29171
1317,풀버전,2023-10-18,1.82992
